Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,10uF,
C3,1206,1,0.1uF,
C4,1206,1,0.01uF,
D1,1206,1,LED_3.3,C5356080
D2,1206,1,LED_VBUS,C5356080
D3,1206,1,LED_CLK,C5356080
"R1, R6",1206,2,10Ω,
R2,1206,1,130Ω,
"R3, R7",1206,2,5.1kΩ,C163372
R4,1206,1,8.45kΩ,
R5,1206,1,20kΩ,
SW1,SW_SPDT_PCM12,1,ON/OFF,C136659
SW2,SW_SPDT_PCM12,1,CLOCK SPEED,C136659
U1,SOT-23-5,1,AP2112K-3.3,C51118
U2,74LV4060D118,1,74HC4060D,C548000
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TPM8837C,
USB1,TYPEC31M17,1,TYPE-C-31-M-17,C283540
